date,version1,version2,version3,version4,version5,version6,version7,version8
2017-04-08,62.5,54.7368421053,60.8695652174,72.5,61.7391304348,60.0,69.3333333333,66.6666666667
2017-04-09,65.2,49.6774193548,68.0701754386,70.9375,66.7924528302,67.2727272727,63.0434782609,61.8181818182
2017-04-10,67.25,53.3333333333,67.8048780488,72.1904761905,66.4935064935,64.7887323944,64.5714285714,64.2857142857
2017-04-11,66.9811320755,53.9285714286,68.4955752212,71.2408759124,67.0476190476,66.2,64.7311827957,63.5555555556
2017-04-12,65.737704918,53.7313432836,67.3529411765,70.243902439,68.3333333333,67.3529411765,66.0317460317,62.8571428571
2017-04-13,64.7552447552,54.1772151899,66.4102564103,69.9507389163,68.3798882682,66.4052287582,66.8292682927,62.4390243902
2017-04-14,64.8447204969,57.7142857143,67.0588235294,69.6995708155,68.2352941176,66.7391304348,67.3195876289,61.3636363636
2017-04-15,64.7727272727,59.1935483871,66.2564102564,70.8363636364,70.3703703704,66.6666666667,66.5346534653,63.0573248408
2017-04-16,64.8979591837,61.8987341772,65.9813084112,71.5133531157,69.8620689655,65.8490566038,66.9603524229,62.5301204819
2017-04-17,66.2608695652,61.8934911243,66.0792951542,72.972972973,69.4701986755,66.9135802469,66.694214876,62.5555555556
2017-04-18,66.484375,62.5396825397,65.9259259259,73.2203389831,69.2879256966,66.8702290076,66.5098039216,63.3
2017-04-19,66.2172284644,62.7586206897,67.4324324324,73.0214424951,69.5530726257,66.9964664311,66.3197026022,63.1279620853
2017-04-20,67.9495268139,63.0769230769,67.0779220779,72.9009009009,69.1105121294,67.1197411003,66.9078947368,62.6046511628
2017-04-21,68.2352941176,63.0172413793,66.4951768489,73.2576985413,69.6836982968,66.8571428571,67.6331360947,62.2831050228
2017-04-22,68.8279301746,63.1836734694,66.2025316456,73.0,69.5852534562,66.8862275449,68.730964467,62.6271186441
2017-04-23,68.830548926,64.5229681979,66.2006079027,72.8024502297,69.6017699115,66.7630057803,70.5042016807,62.6446280992
2017-04-24,68.4684684685,64.6511627907,65.604719764,72.4108416548,69.0254237288,66.393442623,70.0,62.2924901186
2017-04-25,68.4848484848,65.1051051051,65.4227405248,72.2865013774,68.679245283,66.2702702703,71.0862619808,62.2053231939
2017-04-26,68.7739463602,65.1666666667,65.0279329609,72.0460358056,68.1873727088,66.1809045226,71.25,63.7133550489
2017-04-27,68.5507246377,64.8533333333,65.5860349127,71.6377171216,68.0694980695,65.845410628,71.3212435233,63.6526946108
2017-04-28,68.4135472371,64.857881137,65.7210401891,72.0833333333,67.9323308271,65.9907834101,71.5311004785,63.2640949555
2017-04-29,68.3925549915,65.0120481928,66.2365591398,72.0668058455,67.7064220183,66.2068965517,71.5117581187,63.0498533724
2017-04-30,68.3653846154,65.2702702703,66.0251046025,71.7575757576,67.3417721519,65.9493670886,71.9390862944,63.5294117647
2017-05-01,68.2737169518,65.3246753247,66.0080645161,71.8207816969,67.1174377224,65.6548856549,72.1167883212,63.4464751958
2017-05-02,68.4148148148,65.3638253638,66.081871345,71.7439703154,67.1502590674,65.7085020243,72.6072607261,63.3846153846
2017-05-03,68.495821727,65.1942740286,65.8126195029,71.5013648772,66.9798657718,66.0707635009,72.4613003096,63.6842105263
2017-05-04,69.0338770389,65.0,65.8100558659,71.5104166667,67.3488372093,66.1319073084,72.298325723,63.5377358491
2017-05-05,69.2723004695,64.9101796407,65.6617647059,71.492910759,67.0987654321,66.610738255,72.3232323232,63.8116591928
2017-05-06,69.1533180778,64.8343079922,65.818815331,71.4101531023,67.0746268657,66.71875,72.3783413297,63.5033259424
2017-05-07,69.1657397108,65.2631578947,66.1639344262,71.3402061856,66.962962963,66.5527950311,72.6222222222,63.5010940919
2017-04-19,68.9782608696,65.3793103448,65.9903381643,71.4746881878,66.8405797101,66.3692307692,72.5396825397,63.2173913043
2017-04-20,68.9589905363,65.1457975986,65.7594936709,71.3223731237,66.8975069252,66.2027231467,72.5412166003,63.0107526882
2017-04-21,68.8591983556,65.0337837838,65.6739811912,71.1489361702,66.7939972715,66.0830860534,72.7442827443,63.0962343096
2017-04-22,68.6317907445,65.016286645,65.4489164087,71.0871033086,66.6133333333,65.9710144928,72.7063531766,63.0923694779
2017-04-23,68.814229249,65.078369906,65.8739255014,71.0966057441,66.4814814815,65.952045134,72.6204238921,62.9540918164
2017-04-24,68.5741626794,65.1963746224,65.9002770083,71.2921004287,66.4507772021,65.8263305322,72.5,62.8174603175
2017-04-25,68.4586466165,65.1840942563,65.8950201884,71.2084063047,66.2944162437,65.7959183673,72.406221409,62.6848249027
2017-04-26,68.5969615728,65.4468085106,65.8575197889,71.1441647597,66.2344139651,65.9191655802,72.3581560284,62.5918762089
2017-04-27,68.5863874346,66.2793572311,65.8473479948,71.0647887324,66.2682926829,65.8139534884,72.3056882327,62.4521072797
2017-04-28,68.7479406919,66.2275449102,65.7033248082,71.1897106109,66.1668681983,65.7362355954,72.1861656704,62.3238095238
